"Story","Title","Result","Date","Stability","Duration (s)"
"Users CRUD test","This will create a user","SUCCESS","2022-06-07T17:47:23.140+01:00[Europe/London]","0.0","3.62"
"Users CRUD test","Verify is User is added or not","FAILURE","2022-06-07T17:47:26.776+01:00[Europe/London]","0.0","0.25"
"Users CRUD test","This will login a user","FAILURE","2022-06-07T17:47:27.113+01:00[Europe/London]","0.0","0.23"
"Users CRUD test","This will update a user by PUT","SUCCESS","2022-06-07T17:47:27.345+01:00[Europe/London]","0.0","0.23"
"Users CRUD test","This will update a user by Patch","SUCCESS","2022-06-07T17:47:27.571+01:00[Europe/London]","0.0","0.19"
"Users CRUD test","This will update a user by Patch","SUCCESS","2022-06-07T17:47:27.759+01:00[Europe/London]","0.0","0.2"
"Users CRUD test","1. This will verify if Page = 2","SUCCESS","2022-06-07T17:47:27.956+01:00[Europe/London]","0.0","0.22"
"Users CRUD test","2. This will if verify Per_page = 6","SUCCESS","2022-06-07T17:47:28.176+01:00[Europe/London]","0.0","0.17"
"Users CRUD test","3. This will if verify second data id = 8","SUCCESS","2022-06-07T17:47:28.359+01:00[Europe/London]","0.0","0.23"
"Users CRUD test","4. This will if verify forth data first_name = Byron","SUCCESS","2022-06-07T17:47:28.593+01:00[Europe/London]","0.0","0.19"
"Users CRUD test","5. This will if verify list of data = 6","SUCCESS","2022-06-07T17:47:28.780+01:00[Europe/London]","0.0","0.17"
"Users CRUD test","6. This will if verify fifth data avatar=https://reqres.in/img/faces/12-image.jpg","SUCCESS","2022-06-07T17:47:28.949+01:00[Europe/London]","0.0","0.16"
"Users CRUD test","7. This will if verify support.url =https://reqres.in/#support-heading","SUCCESS","2022-06-07T17:47:29.111+01:00[Europe/London]","0.0","0.17"
"Users CRUD test","8. This will if verify support.text = To keep ReqRes free, contributions towards server costs are appreciated!","SUCCESS","2022-06-07T17:47:29.286+01:00[Europe/London]","0.0","0.17"
